stay_id,dest_id,city,area_name,area_type,lat,lng,why_here,metro_access,walk_to,price_eco_low,price_eco_high,price_mid_low,price_mid_high,price_high_low,price_high_high,peak_multiplier,example_hotels,avoid_tip,src_confidence,verified,source_url,last_check_date,note
S001,D013,上海,人民广场与南京东路,核心景区,31.233,121.475,地铁 1/2/8 号线交汇，去外滩豫园都能走过去,地铁 1/2/8 号线人民广场站,外滩 20min、南京路步行街 5min、豫园 25min,300,450,500,800,1100,2500,2.0,和平饭店；南新雅大酒店；锦江都城系列,外滩沿江的酒店溢价极高；往西一两个街区价格立降,high,0,,,
S002,D013,上海,静安寺与南京西路,商业中心,31.224,121.445,安静且餐饮好，地铁 2/7 号线，去哪都方便,地铁 2/7 号线静安寺站,静安寺 5min、武康路 20min,350,500,600,900,1200,3000,1.9,静安香格里拉；璞丽酒店,这一带基本没有便宜住宿；预算紧就别看这里,high,0,,,
S003,D013,上海,虹桥枢纽,交通枢纽,31.195,121.32,只适合当天飞或赶早班高铁；不适合玩,地铁 2/10/17 号线虹桥火车站站,什么景点都到不了,250,380,400,650,800,1600,1.6,虹桥基快捷系列；上海虹桥元一希尔顿,离市区 40 分钟以上；只为赶车才住这里,mid,0,,,
S004,D014,苏州,观前街与平江路,核心景区,31.318,120.628,古城核心，拙政园平江路都能步行，苏州站也近,地铁 1/4 号线临顿路或乐桥站,平江路 5min、拙政园 15min、观前街 0min,200,320,350,600,700,1600,2.0,苏州书香世家系列；平江路一带精品民宿,古城内多是老building，隔音一般；对噪音敏感选新楼,high,0,,,
S005,D014,苏州,金鸡湖与工业园区,商业中心,31.32,120.72,新区高楼，房间新且便宜，但离古城 30 分钟,地铁 1 号线东方之门站,古城景点都到不了，要坐地铁,220,330,350,550,800,1800,1.7,苏州洲际；李公堤一带商务酒店,来苏州是看园林的，住这里每天通勤 1 小时来回,mid,0,,,
S006,D015,南京,新街口,商业中心,32.04,118.79,地铁 1/2 号线交汇，全城任何方向都一趟车,地铁 1/2 号线新街口站,总统府 10min、夫子庙 25min,250,380,400,700,900,2000,1.9,南京饭店；金陵饭店；新街口一带连锁,是全市最堵的地方；自驾的话停车很痛苦,high,0,,,
S007,D015,南京,夫子庙与老门东,核心景区,32.02,118.788,晚上出门就是秦淮河夜景，老门东也在旁边,地铁 3 号线夫子庙站,夫子庙 5min、老门东 10min、明城墙 15min,220,350,380,650,800,1800,2.1,夫子庙一带精品民宿；状元楼酒店,夜里人声嘈杂到 11 点；要安静选新街口,high,0,,,
S008,D015,南京,南京南站,交通枢纽,31.97,118.79,只为赶高铁；地铁 1/3/S1 号线,地铁 1/3 号线南京南站,什么景点都到不了,180,280,300,500,600,1200,1.5,南站周边快捷连锁,离城区 25 分钟以上；玩的人不要住这里,mid,0,,,
S009,D043,北京,前门与王府井,核心景区,39.9,116.405,地铁 1/2/8 号线，故宫天坛都在步行或两站内,地铁 1 号线王府井或 2/8 号线前门站,故宫 15min、天安门 10min、王府井 0min,350,550,600,1000,1400,3500,2.2,北京饭店；前门建国饭店；东四一带四合院客栈,国庆与暑期这一带价格翻倍还常满；至少提前一个月订,high,0,,,
S010,D043,北京,南锣鼓巷与什刹海,核心景区,39.937,116.395,胡同氛围，地铁 6/8 号线，离故宫景山近,地铁 6/8 号线南锣鼓巷站,景山 15min、故宫北门 20min、什刹海 10min,320,500,550,900,1200,3000,2.1,什刹海一带四合院酒店；胡同精品民宿,胡同房间普遍小且老；有些没有独立卫浴要问清,high,0,,,
